x0000,y0000,x0001,y0001
79.4,55.19, , ,
79.5,55.19, , ,
79.6,55.19, , ,
79.7,55.25, , ,
79.8,55.25, , ,
79.9,55.25, , ,
80,55.25, , ,
80.1,55.25, , ,
80.2,55.25, , ,
80.3,55.38, , ,
80.4,55.38, , ,
80.5,55.38, , ,
80.6,55.38, , ,
80.7,55.38, , ,
80.8,55.38, , ,
80.9,55.5, , ,
81,55.5, , ,
81.1,55.5, , ,
81.2,55.5, , ,
81.3,55.5, , ,
81.4,55.5, , ,
81.5,55.56, , ,
81.6,55.56, , ,
81.7,55.56, , ,
81.8,55.56, , ,
81.9,55.56, , ,
82,55.56, , ,
82.1,55.69, , ,
82.2,55.69, , ,
82.3,55.69, , ,
82.4,55.69, , ,
82.5,55.69, , ,
82.6,55.69, , ,
82.7,55.75, , ,
82.8,55.75, , ,
82.9,55.75, , ,
83,55.75, , ,
83.1,55.75, , ,
83.2,55.75, , ,
83.3,55.88, , ,
83.4,55.88, , ,
83.5,55.88, , ,
83.6,55.88, , ,
83.7,55.88, , ,
83.8,55.88, , ,
83.9,55.94, , ,
84,55.94, , ,
84.1,55.94, , ,
84.2,55.94, , ,
84.3,55.94, , ,
84.4,55.94, , ,
84.5,56.06, , ,
84.6,56.06, , ,
84.7,56.06, , ,
84.8,56.06, , ,
84.9,56.06, , ,
85,56.06, , ,
85.1,56.13, , ,
85.2,56.13, , ,
85.3,56.13, , ,
85.4,56.13, , ,
85.5,56.13, , ,
85.6,56.13, , ,
85.7,56.19, , ,
85.8,56.19, , ,
85.9,56.19, , ,
86,56.19, , ,
86.1,56.19, , ,
86.2,56.19, , ,
86.3,56.31, , ,
86.4,56.31, , ,
86.5,56.31, , ,
86.6,56.31, , ,
86.7,56.31, , ,
86.8,56.31, , ,
86.9,56.38, , ,
87,56.38, , ,
87.1,56.38, , ,
87.2,56.38, , ,
87.3,56.38, , ,
87.4,56.38, , ,
87.5,56.5, , ,
87.6,56.5, , ,
87.7,56.5, , ,
87.8,56.5, , ,
87.9,56.5, , ,
88,56.5, , ,
88.1,56.56, , ,
88.2,56.56, , ,
88.3,56.56, , ,
88.4,56.56, , ,
88.5,56.56, , ,
88.6,56.56, , ,
88.7,56.63, , ,
88.8,56.63, , ,
88.9,56.63, , ,
89,56.63, , ,
89.1,56.63, , ,
